id,Weight_PID,xspanish,complete_status,ppage,ppeduc5,ppeducat,ppgender,ppethm,pphhsize,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppstaten,PPWORKA,ppemploy,xparent,Q1_1,Q1_2,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q5,Q6,Q260,Q26a,QPID,ABCAGE,Contact
258570001,.7642,English,qualified,61,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",1,"$25,000 to $49,999",Never married,Metro,MidWest,Owned or being bought by you or someone in your household,Wisconsin,Self-employed,Working full-time,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Not important at all,Not important at all,Very important,Not important at all,Not important at all,Not important at all,Not important at all,Not important at all,Not important at all,Not important at all,Not important at all,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Would make no difference in your vote,Would make no difference in your vote,No religion, ,Something else,50-64,"No, I am not willing to be interviewed"
258570002,.5744,English,qualified,77,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,South,Owned or being bought by you or someone in your household,Florida,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,No religion, ,A Democrat,65+,"Yes, I am willing to be interviewed"
258570003,.7369,English,qualified,66,Bachelor’s degree,Bachelors degree or higher,Male,"White, Non-Hispanic",3,"$50,000 to $74,999",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Maine,Retired,Working part-time,not parents of children 0-17 YO,Unfavorable,Favorable,Right direction,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Democrats,Both,Democrats,Both,Neither,Democrats,Democrats,Democrats,Both,Democrats,Democrats,More likely to vote for the Republican candidate in that election,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",No,An Independent,65+,"Yes, I am willing to be interviewed"
258570004,.648,English,qualified,61,Master’s degree or above,Bachelors degree or higher,Female,"White, Non-Hispanic",3,"$150,000 or more",Now Married,Metro,NorthEast,Owned or being bought by you or someone in your household,Massachusetts,Employed part-time (by someone else),Working part-time,not parents of children 0-17 YO,Unfavorable,No opinion,Wrong direction,Very important,Very important,Very important,Very important,Not so important,Very important,Not so important,Not so important,Not so important,Not so important,Very important,Neither,Both,Both,Neither,Neither,Democrats,Democrats,Democrats,Both,Both,Neither,More likely to vote for the Republican candidate in that election,More likely to vote for the Democratic candidate in that election,Catholic,No,An Independent,50-64,"No, I am not willing to be interviewed"
258570005,1.2092,English,qualified,72,High school graduate (high school diploma or the equivalent GED),High school,Female,"White, Non-Hispanic",2,"$10,000 to $24,999",Widowed,Metro,South,Occupied without payment of cash rent,Virginia,Retired,Not working,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Somewhat important,Very important,Very important,Very important,Not important at all,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Would not vote,Would not vote,No religion, ,A Republican,65+,"No, I am not willing to be interviewed"
258570006,1.1322,English,qualified,69,Master’s degree or above,Bachelors degree or higher,Male,Hispanic,3,"$100,000 to $149,999",Now Married,Metro,West,Owned or being bought by you or someone in your household,Colorado,Self-employed,Working full-time,not parents of children 0-17 YO,Favorable,Unfavorable,Wrong direction,Very important,Very important,Not important at all,Skipped,Very important,Not so important,Very important,Very important,Not important at all,Somewhat important,Very important,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,More likely to vote for the Republican candidate in that election,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,A Republican,65+,"No, I am not willing to be interviewed"
258570007,1.4141,English,qualified,41,Some college or Associate degree,Some college,Male,"Other, Non-Hispanic",4,"$25,000 to $49,999",Now Married,Metro,NorthEast,Rented for cash,New York,Self-employed,Working full-time,parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Democrats,Democrats,Democrats,Neither,Democrats,Neither,Democrats,Neither,Neither,Democrats,Neither,Would make no difference in your vote,Would make no difference in your vote,Islam/Muslim, ,An Independent,30-49,"Yes, I am willing to be interviewed"
258570008,.623,English,qualified,65,Bachelor’s degree,Bachelors degree or higher,Female,"Black, Non-Hispanic",1,"$50,000 to $74,999",Divorced,Metro,MidWest,Owned or being bought by you or someone in your household,Missouri,Retired,Working part-time,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Democrats,Both,Neither,Democrats,Both,Neither,Democrats,Both,Both,Democrats,Democrats,Would make no difference in your vote,Would make no difference in your vote,"Evangelical or Protestant Christian (Baptist, Lutheran, Methodist, Presbyterian, Episcopalian, Pentecostal, Church of Ch",Yes,A Democrat,65+,"No, I am not willing to be interviewed"
258570009,.9015,English,qualified,87,High school graduate (high school diploma or the equivalent GED),High school,Male,"White, Non-Hispanic",4,"$150,000 or more",Widowed,Metro,South,Owned or being bought by you or someone in your household,Maryland,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Unfavorable,Wrong direction,Very important,Very important,Not so important,Very important,Very important,Not important at all,Not so important,Very important,Very important,Very important,Very important,Republicans,Republicans,Republicans,Republicans,Republicans,Republicans,Neither,Republicans,Republicans,Republicans,Neither,Would make no difference in your vote,Would make no difference in your vote,No religion, ,A Republican,65+,"No, I am not willing to be interviewed"
258570010,.6551,English,qualified,82,Master’s degree or above,Bachelors degree or higher,Male,"White, Non-Hispanic",2,"$150,000 or more",Now Married,Metro,MidWest,Rented for cash,Michigan,Retired,Not working,not parents of children 0-17 YO,Unfavorable,Favorable,Wrong direction,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Not so important,Very important,Very important,Somewhat important,Neither,Neither,Democrats,Neither,Neither,Neither,Democrats,Democrats,Democrats,Democrats,Neither,Would make no difference in your vote,Would make no difference in your vote,No religion, ,An Independent,65+,"No, I am not willing to be interviewed"
